Price,Size (in meters),Room,Baths,Type
1822368,74,2,1,Apartments
3100000,116,3,2,Apartments
1767800,84,2,2,Apartments
1900000,78,2,1,Apartments
3636520,133,3,3,Apartments
6500000,116,3,2,Apartments
5076000,106,3,2,Apartments
27032000,320,3,4,Twin House
6600000,115,3,2,Apartments
5168000,84,2,1,Apartments
5070000,74,2,1,Apartments
4800000,92,2,1,Apartments
2750300,80,2,1,Apartments
9000000,200,3,3,Apartments
4978000,95,2,2,Apartments
4978000,95,2,2,Apartments
30000000,84,,,Shops
9000000,167,3,2,Apartments
1133540,84,2,1,Apartments
6500000,211,3,3,Town House
9200000,147,3,3,Apartments
4400000,138,2,1,Apartments
19000000,276,4,5,Twin House
33000000,290,4,5,Twin House
13000000,325,5,4,Apartments
5550000,140,3,2,Apartments
5700000,67,1,1,Studio with garden
3950000,90,2,2,Apartments
16000000,211,3,3,Villas
14748580,204,4,3,Villas
5900000,275,4,3,Twin House
4300000,116,3,2,Apartments
5900000,114,3,2,Apartments
15500000,266,3,3,Twin House
3400000,95,2,2,Apartments
5164000,109,3,2,Apartments
13800000,200,4,3,Apartments
5000000,133,3,2,Apartments
4300000,116,3,1,Apartments
6300000,175,4,2,Apartments
1822368,74,2,1,Apartments
3100000,116,3,2,Apartments
1767800,84,2,2,Apartments
1900000,78,2,1,Apartments
3636520,133,3,3,Apartments
6500000,116,3,2,Apartments
5076000,106,3,2,Apartments
27032000,320,3,4,Twin House
6600000,115,3,2,Apartments
5168000,84,2,1,Apartments
5070000,74,2,1,Apartments
4800000,92,2,1,Apartments
2750300,80,2,1,Apartments
9000000,200,3,3,Apartments
4978000,95,2,2,Apartments
4978000,95,2,2,Apartments
30000000,84,,,Shops
9000000,167,3,2,Apartments
1133540,84,2,1,Apartments
6500000,211,3,3,Town House
5000000,84,,,Shops
43000000,290,5,5,Villas
6500000,290,4,4,Separate Villa
10193200,209,3,3,Apartments
4900000,116,3,2,Apartments
12500000,245,3,3,Apartments
8991610,141,3,2,Apartments
6000000,266,3,3,Twin House
3000000,103,3,2,Apartments
9550000,500,4,3,Villas
2446000,90,2,1,Apartments
1133540,84,2,1,Apartments
16000000,211,3,3,Villas
950000,142,3,2,Apartments
3000000,81,3,2,Apartments
1383900,78,2,1,Apartments
4700000,208,4,3,Apartments
4200000,96,2,2,Apartments
43000000,290,5,5,Separate Villa
7566111,96,2,2,Apartments
12160000,76,,,Shops
21012500,56,,,Shops
18000000,42,,,Shops
10120000,194,3,2,Apartments
4500000,110,2,1,Apartments
5702203,100,2,2,Apartments
31000000,660,5,5,Twin House
5380000,107,2,2,Apartments
7175000,148,3,2,Apartments
37000000,360,4,4,Separate Villa
29000000,390,5,6,Separate Villa
3570000,124,3,2,Furnished Apartment
9200000,147,3,3,Apartments
29000000,390,5,6,Separate Villa
2850000,74,2,1,Apartments
12160000,76,,,Shops
26000000,280,4,4,Twin House
3300000,94,2,1,Furnished Apartment
39000000,317,5,5,Separate Villa
9225000,182,3,3,Apartments
